user,item
11,2273
11,8961
11,49272
11,8665
11,1101
11,5418
11,2115
11,4963
11,4886
11,733
14,1380
14,4246
14,5952
14,780
14,597
14,2571
14,7153
14,539
14,4993
14,500
18,1193
18,750
18,56367
18,46578
18,2959
18,296
18,48394
18,5618
18,4226
18,79132
25,2762
25,1196
25,5445
25,1
25,1270
25,1210
25,7153
25,260
25,6539
25,47
31,1580
31,6377
31,3578
31,318
31,4963
31,1240
31,2028
31,1291
31,356
31,780
35,58559
35,48516
35,44191
35,33794
35,5952
35,541
35,2959
35,1198
35,260
35,1
43,2858
43,4973
43,858
43,50
43,58559
43,593
43,47
43,5952
43,7153
43,4993
50,1196
50,1198
50,58559
50,858
50,1213
50,4993
50,260
50,4226
50,1089
50,50
58,858
58,50
58,593
58,1210
58,1270
58,1198
58,260
58,3578
58,2571
58,47
60,1210
60,1198
60,1291
60,58559
60,1196
60,50
60,356
60,47
60,260
60,2571
61,4306
61,1198
61,1210
61,3578
61,1
61,2571
61,260
61,318
61,2959
61,356
65,47
65,7153
65,5952
65,50
65,2571
65,296
65,58559
65,858
65,593
65,2858
72,50
72,318
72,2959
72,5952
72,7153
72,1291
72,58559
72,4993
72,47
72,260
77,50
77,593
77,858
77,4226
77,7361
77,2959
77,318
77,2858
77,296
77,2571
82,260
82,1198
82,1206
82,7361
82,858
82,2858
82,356
82,593
82,2571
82,296
85,260
85,2858
85,2571
85,356
85,2959
85,593
85,50
85,296
85,47
85,318
90,2028
90,4963
90,780
90,2959
90,1270
90,5952
90,4993
90,7153
90,2571
90,6539
91,1210
91,260
91,5952
91,356
91,3793
91,1291
91,2571
91,7153
91,780
91,4993
96,1240
96,1193
96,1089
96,2997
96,1206
96,608
96,1136
96,2858
96,50
96,858
98,858
98,593
98,4226
98,260
98,4993
98,1198
98,2858
98,2959
98,7153
98,318
99,6016
99,4993
99,48516
99,2571
99,5952
99,7153
99,4226
99,858
99,50
99,1198
102,1704
102,58559
102,1210
102,110
102,356
102,47
102,7153
102,780
102,1291
102,5952
116,58559
116,4226
116,593
116,2762
116,4963
116,1240
116,4306
116,59315
116,44191
116,1
121,593
121,47
121,318
121,3578
121,356
121,780
121,5952
121,4993
121,2571
121,7153
124,2716
124,59315
124,2028
124,1210
124,7153
124,4993
124,5952
124,33794
124,260
124,6539
129,4226
129,2571
129,858
129,44191
129,48516
129,2858
129,60069
129,7361
129,318
129,296
132,58559
132,1
132,1270
132,1210
132,1198
132,2571
132,3578
132,7153
132,260
132,47
133,608
133,1732
133,260
133,5952
133,1198
