user,item
11,2617
11,3147
11,32587
11,7438
11,8961
11,4886
11,8360
11,4370
11,5218
11,2
14,1198
14,2398
14,6539
14,914
14,2565
14,1035
14,1028
14,40815
14,919
14,8368
18,2324
18,8873
18,2959
18,4226
18,296
18,1193
18,46578
18,46723
18,4235
18,5995
25,1923
25,1073
25,47
25,2997
25,7361
25,2291
25,1682
25,608
25,2762
25,1270
31,95510
31,7454
31,91542
31,8636
31,60040
31,68358
31,34405
31,68954
31,8644
31,81847
35,4306
35,7147
35,5618
35,48780
35,48394
35,4878
35,33794
35,44191
35,5952
35,2959
43,2858
43,4886
43,4973
43,4995
43,8961
43,17
43,7153
43,2762
43,4993
43,5952
50,2329
50,6016
50,1682
50,293
50,1089
50,527
50,4993
50,4878
50,4226
50,778
58,1610
58,150
58,2571
58,608
58,593
58,50
58,1246
58,1198
58,457
58,2762
60,31658
60,8961
60,4973
60,48394
60,50872
60,58559
60,5618
60,6377
60,68954
60,60069
61,8376
61,223
61,1968
61,44195
61,30810
61,56367
61,3052
61,32587
61,4979
61,2959
65,2762
65,5952
65,3949
65,593
65,2858
65,7153
65,296
65,4993
65,4878
65,2571
72,2918
72,589
72,608
72,457
72,527
72,2762
72,318
72,1097
72,1198
72,1270
77,2959
77,1219
77,4993
77,1210
77,1198
77,296
77,593
77,2571
77,1196
77,1136
82,2571
82,55247
82,2858
82,48780
82,356
82,68157
82,46578
82,296
82,7361
82,64839
85,1
85,8961
85,8368
85,1197
85,953
85,68954
85,914
85,6377
85,40815
85,595
90,1198
90,7153
90,2571
90,780
90,4993
90,5952
90,1270
90,5349
90,588
90,6539
91,593
91,4308
91,4014
91,1246
91,2762
91,4973
91,8970
91,356
91,318
91,2858
96,8665
96,79702
96,50
96,46976
96,47610
96,68157
96,63082
96,56367
96,78499
96,81845
98,87232
98,44191
98,31658
98,3000
98,2959
98,70286
98,4993
98,7153
98,59315
98,5618
99,1884
99,7438
99,1213
99,50
99,4226
99,1732
99,48516
99,6874
99,1089
99,2571
102,1210
102,858
102,5952
102,50
102,58559
102,593
102,1198
102,7153
102,356
102,1197
116,1517
116,2542
116,2706
116,4963
116,593
116,104
116,4776
116,4226
116,2918
116,2502
121,231
121,59315
121,2502
121,2571
121,2329
121,356
121,318
121,34162
121,48516
121,4011
124,527
124,454
124,590
124,110
124,2028
124,377
124,2000
124,4993
124,733
124,1784
129,48394
129,61024
129,8874
129,48385
129,2959
129,68157
129,7361
129,71535
129,58559
129,4878
132,1784
132,2571
132,527
132,5669
132,2918
132,47
132,1265
132,1961
132,2692
132,2174
133,74458
133,4995
133,6016
133,527
133,608
133,46578
133,48394
133,858
133,81845
133,63082
135,914
135,1035
135,8360
135,5816
135,588
135,8368
135,40815
135,364
135,1907
135,4896
136,4896
136,5952
136,318
136,98809
136,7153
136,79091
136,364
136,76093
136,69122
136,72998
147,8961
147,1206
147,2858
