user,item
11,8961
11,72378
11,32587
11,37386
11,4886
11,3156
11,4370
11,3354
11,3986
11,2
14,6539
14,914
14,1907
14,1035
14,1198
14,2424
14,1028
14,2398
14,4016
14,1223
18,912
18,5995
18,64622
18,56367
18,296
18,46578
18,910
18,4235
18,60950
18,1193
25,3897
25,1073
25,2291
25,2762
25,2997
25,2329
25,608
25,597
25,1270
25,47
31,102445
31,91542
31,68954
31,8636
31,5349
31,6377
31,68358
31,5882
31,7454
31,5313
35,4306
35,4963
35,33166
35,33794
35,3996
35,2959
35,48394
35,44191
35,48516
35,5952
43,3996
43,2762
43,1197
43,8961
43,4973
43,4993
43,5952
43,17
43,7153
43,40629
50,253
50,32587
50,110
50,4993
50,337
50,1196
50,4878
50,4226
50,260
50,4027
58,529
58,1617
58,3418
58,2571
58,4022
58,515
58,4027
58,3996
58,4995
58,608
60,1196
60,1235
60,362
60,356
60,1223
60,6539
60,30749
60,4973
60,8873
60,1198
61,3556
61,44761
61,1968
61,38061
61,32587
61,6711
61,30810
61,4979
61,2959
61,6502
65,2747
65,2571
65,2762
65,2858
65,7323
65,4878
65,527
65,68954
65,3949
65,56367
72,3996
72,778
72,2959
72,2918
72,1193
72,367
72,318
72,1923
72,1270
72,1225
77,2018
77,1196
77,1387
77,1136
77,2019
77,1282
77,3671
77,1345
77,4993
77,1222
82,1089
82,68157
82,80489
82,50872
82,64839
82,82459
82,6377
82,63876
82,64197
82,4963
85,783
85,1197
85,898
85,1907
85,1947
85,914
85,2096
85,81845
85,910
85,28
90,292
90,7153
90,5349
90,4993
90,5952
90,736
90,377
90,780
90,588
90,4896
91,515
91,1220
91,8360
91,520
91,368
91,2001
91,5991
91,8970
91,8961
91,2791
96,72226
96,50
96,30810
96,44199
96,68157
96,56367
96,46976
96,94959
96,47610
96,8665
98,318
98,5971
98,2329
98,74458
98,98809
98,3000
98,4993
98,2959
98,7153
98,5618
99,2571
99,858
99,1732
99,56251
99,69122
99,4226
99,36708
99,1089
99,50
99,293
102,2858
102,50
102,1198
102,904
102,903
102,908
102,58559
102,912
102,1197
102,7361
116,6
116,8961
116,5464
116,4776
116,1200
116,2502
116,180
116,4226
116,5152
116,593
121,552
121,3421
121,34162
121,1136
121,2329
121,520
121,2890
121,2502
121,2572
121,47518
124,1500
124,368
124,1625
124,1747
124,185
124,2001
124,2000
124,377
124,733
124,145
129,78209
129,7361
129,8874
129,61024
129,7451
129,2959
129,4878
129,4886
129,71535
129,1258
132,1961
132,235
132,1265
132,2692
132,2174
132,47
132,1198
132,2918
132,919
132,7153
133,1207
133,608
133,508
133,3147
133,1617
133,63876
133,527
133,46578
133,1206
133,63082
135,2355
135,552
135,1148
135,261
135,8360
135,4963
135,2125
135,1035
135,5418
135,364
136,76093
136,593
136,318
136,2571
136,364
136,7153
136,95510
136,5952
136,72998
136,69122
147,3253
147,6807
147,923
147,750
147,1485
147,1517
147,2918
147,3421
147,1197
147,1080
152,1136
152,597
152,32587
152,1682
152,595
152,1265
152,1
152,2683
152,2571
152,356
154,46578
154,2997
154,5989
154,593
154,1617
154,8949
154,41285
154,318
154,8665
154,5418
155,51255
155,2692
155,1
155,541
155,4011
155,1199
155,608
155,1136
155,6502
155,2959
162,4011
162,2959
162,7090
162,89745
162,6874
162,32587
162,5952
162,79132
162,44191
162,34405
163,480
163,50
163,1
163,588
163,110
163,60069
163,51662
163,48516
163,296
163,2571
168,1073
168,1213
168,541
168,2174
168,2997
168,923
168,1199
168,2076
168,3949
168,50
175,1304
175,3578
175,1198
175,1704
175,500
175,1230
175,590
175,110
175,1276
175,1221
182,3275
182,84395
182,32587
182,80219
182,85020
182,5903
182,84152
182,82461
182,79132
182,51662
189,45722
189,588
189,6539
189,58559
189,4718
189,2706
189,6377
189,551
189,4886
189,5816
190,68954
190,2161
190,1704
190,1175
190,356
190,1246
190,3481
190,60069
190,372
190,8784
201,6016
201,4226
201,50842
201,5878
201,1354
201,2997
201,27266
201,6711
201,924
201,4973
204,2502
204,2141
204,364
204,2762
204,50872
204,2716
204,1270
204,6502
204,2571
204,2761
205,2762
205,1210
205,1617
205,2858
205,1704
205,4973
205,1196
205,318
205,260
205,4226
206,5418
206,32296
206,4246
206,5957
206,7293
206,5991
206,33679
206,4025
206,2273
206,3623
208,34528
208,39183
208,8949
208,60766
208,55276
208,7566
208,64839
208,78574
208,34542
208,56782
209,7502
209,80489
209,33166
209,216
209,30749
209,49793
209,524
209,2694
209,3916
209,7263
211,110
211,1682
211,588
211,595
211,1917
211,367
211,4963
211,6874
211,2683
211,1
213,1959
213,2858
213,78499
213,4306
213,6377
213,40815
213,4896
213,97921
213,8368
213,1704
215,593
215,1222
215,1197
215,778
215,318
215,68237
215,50
215,81591
215,750
215,79132
218,40278
218,48738
218,4776
218,7361
218,1222
218,38061
218,33660
218,4226
